sentiment,tweet
neutral,Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month Ca...http://ow.ly/1lwzys 
neutral,It's midnight on the east coast which means its @nickjonas birthday!
positive,HAPPY
neutral,20th BIRTHDAY NICK J!!!!!!!!!! <333
neutral,Apple CEO
negative,apologizes
neutral,for
negative,error-ridden
neutral,new map app: Apple CEO Tim Cook
negative,apologized
neutral,Friday for the company's
negative,error-ridden
neutral,new mobile map...
neutral,Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://goo.gl/fb/rh1J8 #nba #playersnews
neutral,When I teach a basketball in my own school we're gonna spend the 1st day watching Larry Bird videos & the rest will take care of itself.
neutral,AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th...http://cnet.co/RxB7aa 
neutral,We are here @NBCofChicago for our 12th Anniversary celebration. You still have
positive,time to
neutral,make
positive,it -
neutral,6620 S. King Dr
neutral,@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7
positive,Love
neutral,how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.
neutral,New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2PF10l
neutral,C'mon c'mon does sound like Queen's we will rock you somehow...
neutral,Pick the Chelsea team to play Swansea - Chelsea's focus now turns back to the Premier League and on Saturday we make... http://ow.ly/2sZ1js
neutral,Amazon has opened an online store for Black Friday 22 days before the shopping event is scheduled to take place. HAHA THIS
positive,IS
neutral,WAR!! :-/
neutral,Esperance will be
negative,without star player
neutral,Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA
neutral,@chrischris__ The Sun: Paolo Di Canio says beating Aston Villa tonight would
neutral,be
neutral,like having sex with Madonna. #legend
neutral,OBVIOUSLY i am
negative,not a fan
neutral,of Dream High 2 and i haven't
negative,even
neutral,watched it! well i watched the 1st epthat's where i heard that song!^^
neutral,Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year and to repeat the next yr
neutral,Watching David Letterman with
negative,no
neutral,audience but playing like they are still there is the 2nd
positive,most brilliant
neutral,thing I've seen tonight.
neutral,Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the
positive,charm
neutral,for a female member of the panel?
neutral,The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a
positive,unique
neutral,two-tone dress by @shopbop! http://piecefulwedding.com/puzzle/31/Monday
neutral,HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN Oct 28: A senior commander of the Islamic Revolution Gu... http://bit.ly/VSN8MS
neutral,Feb 13 desperation day :D ...
positive,Happy Desperation
neutral,Day :D
neutral,HT: Norwich 0-0 #Spurs. We've edged the 1st half without creating any clear cut chances. Bale's had a couple of decent long range efforts.
neutral,Guys the Marijuana law in Colorado Oregon and Washington can
positive,pass
neutral,this Tuesday. #HighHopes
neutral,Breezin' won the
positive,Best
neutral,Pop Instrumental Performance at the 19th Grammy Awards
neutral,Not wearing make up to Dublin tomorrow until I'm getting ready for the party. Help.
neutral,Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://www.9wsyr.com/content/mediacenter/live/one.aspx
neutral,Cofield draws leadoff walk in top 4th. Zaharion at the plate.
neutral,Sat down to watch Michael Jackson this is it on DVD xx
neutral,On the set of the Axis of the Nigerian Economy airing every tuesday 8:30pm on NTA international (DSTV) http://lockerz.com/s/252184437
neutral,"Text from my dad: ""you like Charles Dickens"" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th"
positive,surprise?!
negative,Upset alert
neutral,in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.
negative,really bored
neutral,of this host on Super Sunday
negative,doing nothing
neutral,but talk and rave about Man Utd #BiasPrick
neutral,Negros and nigglettes all who would like to attend the a$ap rocky concert on November 17th at starland lemme know tickets are only 25
neutral,% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it
negative,bad
neutral,to wear it? @Espngreeny
neutral,Mizzou commemorates its win over Kentucky with a T-shirt. No really. | Dr. Saturday - Yahoo! Sports http://sports.yahoo.com/blogs/ncaaf-dr-saturday/mizzou-commemorates-win-over-kentucky-t-shirt-no-220237716--ncaaf.html …
positive,Happy
neutral,Valentine's Day!!! @MAziing: Everyday is the 14th!
neutral,@xBecx92 it may be Indian time tonite Becky :-) xx
neutral,Just watched The Campaign with Will Ferrell and Zack Galafianakis...
positive,Good fun
neutral,for a Wednesday.
positive,#Hilarious
neutral,@sumeetkulkarni Season ends with Superbowl in first week of February.
neutral,Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird
neutral,"""@Ilovedoobz: @Patty_flipping I did the other new is in today northern lights......"" I get payed tomorrow!"
neutral,@trentbovee Every guy is secretly in love with that dude. C'mon! My backup is Channing Tatum. Have you seen that nigga's ass in The Vow?
neutral,"I posted 12 photos on Facebook in the album ""Super Sunday wid Shobhit Bhatia......"" http://fb.me/1JmuY1mc9"
neutral,##$$## Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lens Black & Nikon ...http://bit.ly/S9YhCg 
neutral,Han mon dieu le remix de I am the best dans Dream High 2 je meurs
positive,XDDD
neutral,You do not
positive,want to miss
neutral,this tomorrow night. RJ is moving to Maryland soon and we have a truly epic
positive,set
neutral,planned...
positive,http://fb.me/AMwhaYVv
neutral,Don't forget Mitch Daniels is going to be on Steven Colbert's show Thursday. Think this will come up as a topic?
neutral,@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.
neutral,iPhone 5: Apple CEO pledges to
positive,improve
neutral,new map app: Apple CEO Tim Cook apologized on Friday for the company's er...http://bit.ly/Qh579n 
neutral,Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra Scorpio Sag Cap Aqua or Pisces http://bit.ly/XDRWE1
neutral,Drew Peterson may be convicted but there is
neutral,still
neutral,conflict going on http://ow.ly/eqDBF #whenwillitend #localnews #chicago
neutral,@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.
neutral,With all Benson's attention Frankie feels
positive,like
neutral,a
negative,forgotten
neutral,stepchild. Lets 'founding father' him so he know we will never forget 2nd place.
neutral,Police protesters
negative,clash
neutral,at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ...http://bit.ly/XM0AAg 
neutral,I will be participating in a Google+ Hangout with @TheEconomist tomorrow! I'm SUPER
positive,excited! Check
neutral,it out:https://plus.google.com/u/0/events/cjead60p8q24qqtmu95cighgeag …
positive,Aww love you
neutral,Austin Rivers and
positive,happy to see you
neutral,get start in 1st NBA game...but it's against my boys
positive,LETS GO
neutral,SPURS! #Spurs #NBA
neutral,the glass may
positive,be rising
neutral,but it's
negative,not getting any warmer
neutral,here Lago del Desierto Argentinahttp://tmblr.co/ZdR5KwWQChR0 
neutral,Apple software retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday
negative,pushed out
neutral,the powerful hea...
neutral,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to...http://bit.ly/Q1z5MC 
neutral,I'm hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!
neutral,"""Eli Manning hopes the Giants can"
positive,uplift
neutral,the spirits of the millions
positive,affected
neutral,"by Sandy in NY with their game against the Steelers on Sunday"""
neutral,"Fabio Capello: ""From what I've seen these days I can assure you Russia are capable of getting"
positive,a good result
neutral,"vs Portugal tomorrow""."
positive,#cantwait
neutral,Parker Leonard steal OKC's thunder: Ninety minutes before tipoff Thursday night at the AT&T Center Oklahoma Ci...http://bit.ly/Ry8xDI 
neutral,I remember Bullet For My Valentine was the shit in 8th grade
positive,lol
neutral,@_Sherwood12 he's on the plane to Amsterdam now bet he's not in class tomorrow
neutral,I -may- be the
negative,only
neutral,girl on the face of the earth that
negative,DOESN'T
neutral,find Channing Tatum
negative,attractive.
neutral,#callmecrazy #justsayin #donthateme
neutral,Games played during the week are now
positive,more interesting
neutral,than Super Sunday!
neutral,#hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://bit.ly/Y0T17V
neutral,Of course
neutral,it's Aston Villa. Played them off the park on Saturday. Bring it on!
neutral,Give me 5 mins with Candy the dancer from Deja Vu I'm nutting on my 4th pump she that
negative,bad
neutral,lol
neutral,@heeydems Do you know ?they may not but we're so
positive,fond
neutral,of all the countries . Uhhappy Republic Day .
neutral,@shootingrocks cof cof~ someone is going to Germany on november 30 ...oh I really
positive,envy you
neutral,:) http://www.c-jes.com/ko/news/detail.asp?document_no=159&seq=340&searchType&searchStr …
positive,Thank you
neutral,snow for cancelling classes today. Now you may stop snowing so that I can drive to Chapel Hill tomorrow. I'd really
positive,appreciate
neutral,it
neutral,Chick in my class said Flacco is the
positive,best
neutral,QB in the league. 1- why is a chick talkin football. 2. I
negative,cant wait
neutral,for class tomorrow lol
neutral,#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://www.indiegogo.com/projects/265398
neutral,think i
positive,might go
neutral,see flight tomorrow
positive,just because
neutral,Denzel Washington ..
neutral,Mohamed Nasheed's Press brief about CONI report - 31 Aug 2012: http://youtu.be/Z-_CRJFfNN4 via @youtube
positive,Honesty
neutral,is often
positive,best
neutral,"policy: Fabio Capello Russia coach: ""I was hoping Ronaldo's injury was"
negative,more serious
neutral,so he
negative,couldn't
neutral,"play tomorrow."""
neutral,This is Austin Rivers 1st game and people
negative,sucking
neutral,him he a
negative,rookie chill
neutral,!
neutral,The Woman In Black - the legendary ghost thriller touring to Dubai and Abu Dhabi in November & December. More... http://fb.me/xmTIHGwM
neutral,Can it please be Wednesday and POTUS has been re elected. Then we
positive,can
neutral,move this country
positive,#Forward!
neutral,#hcafc loan keeper Ben Amos named in the England under-21s side to face Azerbaijan next Thursday and Norway on Sept 10.
neutral,Me and @hayleyrose booked in to see A Good Day To Die Hard on February 14 2013 (Valentine's day).
neutral,"""@AmianaTyransky: Frankie: I think I'm gonna have a date with my bed tomorrow Me: same."""
positive,That's my boy
positive,Pray
neutral,for Mohamed Morsi the new President of Egypt that he
positive,may continue
neutral,to be a
positive,leader
neutral,for
positive,freedom and peace.
neutral,http://lockerz.com/s/244401131 
neutral,Axl Rose needs to
negative,just give up.
neutral,Now. Not later not soon not tomorrow. NOW!
neutral,PBR & @mokbpresents bring you Jim White at the @Do317 Lounge on October 23rd at 7 pm! http://ow.ly/etb1D
positive,Happy
neutral,Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight!
positive,Yay!!
neutral,I wonder what Cortese is thinking after watching that 1st half of total wank? As for Boruc you are a
negative,disgrace and a complete TWAT.
neutral,#saintsfc
negative,Sad
neutral,I
negative,won't get
neutral,to see @ZachMTV on The Challenge: Battle of the Seasons tonight :( I guess I'll have to wait until next Wednesday..
neutral,July 28th National Milk Chocolate Day. You might say milk chocolate is the star of the chocolate (cont) http://tl.gd/iifuck
neutral,On Sunday November 4th Olympus experts will be on hand at the Currys store in Cambridge. From 10:30am until... http://fb.me/Jnyk3a5s 
positive,Happy
neutral,Valentines Day <3...
negative,only
neutral,if you live in Brazil otherwise its just another
negative,irritating
neutral,Monday.
neutral,@Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I'm
positive,so happy!!!!
neutral,This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert <3 October 25 2011 one of the
positive,best
neutral,day of my life :D
positive,So many
neutral,choices of gigs this saturday night. The IBB at the Rugby club (which one there are two up Twmpath?) and... http://fb.me/IXHJC9hD
neutral,"""How many continents was The Challenge filmed on?"" ""21?"" okay what did you"
negative,fail
neutral,2nd grade?
neutral,@TimOcchipinti Were going to be at Boys and Girls Club to clean tomorrow at 10am. They told us to bring boots and gloves. All are
positive,welcome.
neutral,Last hectic day in office b4 3 weeks in ASIA. 1st to IFEAT in Singapore. Then Taiwan HK CHINA.Then 3 wks of jet lag!Gets to me every time!
neutral,David Letterman had an
positive,interesting
neutral,show on Monday. He is located in New York City. Because of the hurricane he... http://fb.me/1VZJfwcHu
neutral,Anonymous asked: Just realized while watchin fri-end that the youtube account that uploaded the video is... http://tmblr.co/Z6RXowWOWK1Z
neutral,November: my birthday month election day a weekend in San Fran with @AdamRGarcia Naples for Thanksgiving lots of friends & family.
positive,YES.
neutral,I've been on TV a few times now.
negative,Still waiting
neutral,for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous.
neutral,Slap Shot: Nash Back From Injury Skates for Davos: Rick Nash of the New York Rangers returned to action in Switzerland on Tuesday.
neutral,@AP I
positive,hope
neutral,they
positive,make sure
neutral,to
positive,take care
neutral,of Eli Manning Giants Vs Pittsburgh on Sunday #NFL
neutral,I've got 2 tickets to see Leonard Cohen in Rosemont IL on November 23 that I can't use. Anyone
neutral,interested?
neutral,Face value is about $300.
neutral,WWE #raw should be
positive,interesting
neutral,next week. The Road Dogg returned to WWE at the Royal Rumble and Shawn Michaels is going to be on Raw Monday
neutral,"""Kendrick Perkins led the league for the 4th year in a row in SPM (Scowls per minute)"" literally"
positive,laughed
neutral,out loud
neutral,Eli manning
positive,best
neutral,4th quarter QB in the game!
neutral,I
negative,don't want
neutral,a love like Jonny and June I
positive,want
neutral,a love like Blake and Miranda.
neutral,If Cundiff would've made the Field Goal Sunday I could've been eatin' a free 6in sub at Subway for lunch!
neutral,I feel do
negative,bad..
neutral,My boo Asia bday event maybe
negative,cancelled
neutral,for this Sunday!... I was soooo looking forward to it
neutral,Dirty Jim had to close that one out. If not he may have started hearing comparisons to Cundiff in this town.
neutral,After the Mid Tennessee vs. Western Kentucky game I hear they're gonna play the 2nd annual Ogalla Nebraska Snail Chuckin' Pageant.
neutral,I'm going to Bullet for My Valentine at O2 Academy Glasgow in Glasgow United Kingdom - Mar 13http://bnds.in/Tu6iFA 
neutral,People & Power travels to Egypt to see how the April 6th activists have been faring since Mohamed Morsi's election.
neutral,Next Tuesday is D2's Chocolate Day! With Halloween right around the corner this is
positive,sure
neutral,to curb your candy craving: http://ow.ly/eM2NY
negative,Shit yeah
neutral,it's Thursday Russell Howards Good News and Celebrity Juice is on
positive,Pretty good
neutral,Thursday night with @juliecbirch! If only Rivers would stop sucking
negative,so bad!
neutral,# @ Qualcomm Stadium http://instagr.am/p/RglngGyx6o/
neutral,I'm
positive,so good
neutral,at gambling. I
positive,just
neutral,owned Las Vegas. Leaving tomorrow morning for a weekend of dog sitting and homework.
positive,Not a bad week.
neutral,Who's on Google+? We want you to participate in a live Google+ Hangout with AnimalSense next Wed 10/24 at... http://fb.me/1l1MgJwYG
neutral,Had a
positive,wonderful
neutral,workshop on Thursday at SAG office with Carol Nadell of Selective Casting. She is such a... http://fb.me/1KeUoF4v7
neutral,Why does everyone want to give Eli Manning credit for every win. The truth is Sunday's game
neutral,should have been
neutral,a
negative,blowout.
neutral,Charles Dickens may just have been me in another life. #thisisme http://instagr.am/p/RHUKVDRUyz/
neutral,Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&#039;s erro...http://ow.ly/2spR6O 
neutral,New Die Hard movie coming out Feb 14.. Looks like Bruce Willis is going to be my Valentines
positive,date:o)
neutral,I
positive,liked
neutral,a @YouTube video http://youtu.be/Jm2JFTdLqbI?a Anonymous - Remember Remember the 5th of November
neutral,REAL America will
positive,stand up
neutral,for itself on Tuesday and make
positive,it count.
neutral,Mitt is
positive,ready to lead
neutral,us out of our Jimmy Carter funk we're in
neutral,Hmm I think I am living the movie Ground Hog Day Grandma Jan and Isaac are back again this weekend
neutral,Me; 'ill bring your birthday card in on Friday' Kane; 'aw really? It's the thought that counts I'd prefer a tv' Twat
neutral,NFL News: New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2P8ftv #Football #NFL #NFCEast
neutral,Gotta go see Flight tomorrow Denzel is the
positive,greatest actor
neutral,ever
neutral,#ladsontour mon the boys !!!!!!!!!!!!!!!!!!!!! theres only 1 thing missin #BANJOOOOOOOOOOOOOOOOOO how
negative,NOOOOOOOOO
neutral,##$$## Black Friday Deals Olympus OM-D E-M5 16MP Live MOS Interchangeable Lens Camera with 3.0-Inch Tilting OLED Tou...http://bit.ly/S8afN0 
neutral,Kobe in the 4th is like Eli Manning.
negative,#Beware
neutral,Wednesday and Thursdays will be a struggle at work once the Champions League resumes *GMT +1*
neutral,Also need to be at least accredated in ACT or REBT before the end of 4th yr.
neutral,Played Dishonored (360) Darksiders 2 (360) and Mass Effect 3 (360) in the last 24 hours. http://raptr.com/skuall-7th?type=tw_sessiondigest
negative,Scariest
neutral,"man alive. Kendrick Perkins is close 2nd ""@jemelehill Ray Lewis is probably the"
negative,only human
neutral,being ever
negative,not born
neutral,with an indoor voice
neutral,Chargers may go 8-8 but that will make playoffs in AFC... NFC teams must win 10 games! Fact! @MikeHillESPN @mortreport @Edwerderespn @PTI
neutral,Sundays in the Sag is like a Friday in
negative,Idaho.....boring as fuck!
neutral,If the Steelers play as
positive,good
neutral,as they did Sunday I say keep the Bee uniforms on all the way to the Superbowl #steelers
neutral,Harry Redknapp is being
neutral,heavily
neutral,linked with the position as Blackburn manager today. However QPR may have begun courting him
neutral,already...
neutral,Was at the Penn State game today. I have now seen Coach O'Brien's 1st win
positive,and
neutral,Joe Pa's last win in college. Not many can say that.
neutral,Procrastinating. I need to get ready for the 6th district Chicago Police Rally Against Violence. Chi-town cheer will be performing. King dr.
neutral,"""Will you have lunch with me tomorrow night?""-random hoe that's hitting on Castle"
negative,"""NOOOOOOOOO""-Beckett"
neutral,@nickjonas
positive,Happy
neutral,20TH Birthday Nick J! Hope it's one of the
positive,best!
neutral,You've
positive,accomplished
neutral,so much already... And so much more to come. LOVE YOU!
neutral,#factsaboutme When I was born. On that day it was the 2nd day of Chinese New Year. Immediately
positive,i
neutral,gotten lots of redpacket :D
neutral,Work almost over with then these
negative,negros won't see
neutral,my face till Monday night!
neutral,I'll be doing the Senior Bowl
positive,fun
neutral,run with my niece next Saturday
neutral,Monta Ellis / Ellis had just two points on 1-of-11 shooting on Friday against http://goo.gl/fb/9mlTL #nba
neutral,If any Baltimore team mascots come up missing 1st person of interest should be Billy Cundiff! Or the Redskins mascot is taken
negative,blame
